,,,,,,,,,,,,,,,,,,,,,
,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,Link ISP,Link Tiang,,,,,,,,,,,
,,,1,Depan solafide school,"-7.1199965, 110.4051280",isp 1.jpg,tiang 1.jpg,-,https://drive.google.com/file/d/1S9jHaeP6hd882pDkxXELKAOj_SEvoYV9/view?usp=drive_link,https://drive.google.com/file/d/1Sg5LcxFYMdMpgIS48upP-XnStLUREdDf/view?usp=drive_link,-,,,,,,,,,,
,,,2,Sebelah jembatan,"-7.119650, 110.406782",isp 2.jpg,tiang 2.jpg,-,https://drive.google.com/file/d/1HoXPycFMRzVSUThjpH1KtxS7YAbXW0rt/view?usp=drive_link,https://drive.google.com/file/d/1OICgaTgFlh1jWmC1tTvAVuRh-Vb6tQxo/view?usp=drive_link,-,,,,,,,,,,
,,,3,Depan masjid Al-Ikhlas,"-7.1195520, 110.4072228",isp 3.jpg,tiang 3.jpg,jb 3.jpg,https://drive.google.com/file/d/1UHNIYsCbozxw2Jj5AUV361wIjKNuLpsr/view?usp=drive_link,https://drive.google.com/file/d/1_rKJXCxKDo2J7US2QZReib36zXoNsM_K/view?usp=drive_link,https://drive.google.com/file/d/19ww5m1sI1gZOiATW1wswAQbmbPSH9c03/view?usp=drive_link,,,,,,,,,,
,,,4,Depan TB Utama Karya,"-7.1196019, 110.4076751",isp 4.jpg,tiang 4.jpg,-,https://drive.google.com/file/d/1-i-GSnvN2vEy19mS4jkUwoBgjsXxQK9y/view?usp=drive_link,https://drive.google.com/file/d/1ntJpTGpi9Kh37pvNbDa8GyqA_fUna6rF/view?usp=drive_link,-,,,,,,,,,,
,,,5,Depan gang masuk Kel Bandarjo,"-7.1202553, 110.4079544",isp 5.jpg,tiang 5.jpg,jb 5.jpg,https://drive.google.com/file/d/1Eidax6yT_IJhUKQBf07cc4BfJg_vm1Eg/view?usp=drive_link,https://drive.google.com/file/d/1zkany9YLCE6k3f6L0aTn_7G-PRSXxUpr/view?usp=drive_link,https://drive.google.com/file/d/1Dy1jjMrx559G4nscTpWYriNNGdh0qIst/view?usp=drive_link,,,,,,,,,,
,,,6,Depan ungaran AC,"-7.1204696, 110.4082991",isp 6.jpg,tiang 6.jpg,jb 6.jpg,https://drive.google.com/file/d/1f7-_lhbJM94IJrlYs3wfCHpNm7H_ceFc/view?usp=drive_link,https://drive.google.com/file/d/1r9JAWgkdMh-6hHWaP7NLcWywLnjmktWH/view?usp=drive_link,https://drive.google.com/file/d/1-sApM7LqLBx7c8vnmrq1zqiCeBtMjt6D/view?usp=drive_link,,,,,,,,,,
,,,7,Depan radaz PS,"-7.1208455, 110.4084932",isp 7.jpg,tiang 7.jpg,-,https://drive.google.com/file/d/1hi9jxxapvAVjX_pOGiZgILtYm2lC6Ta5/view?usp=drive_link,https://drive.google.com/file/d/1Tj7OTeGRIMZgQ6MhHMTEVoihfeWVSqjL/view?usp=drive_link,-,,,,,,,,,,
,,,8,Depan mushola Al-Khasanah,"-7.1205927, 110.4084748",-,tiang 8.jpg,jb 8.jpg,-,https://drive.google.com/file/d/1F1PRpBWBhrRlSk_Tt5QH-RtawVhqBTSe/view?usp=drive_link,https://drive.google.com/file/d/10rJPp3Pf1Qz2fKFeVqRU8RVUy0oPXlDm/view?usp=drive_link,,,,,,,,,,
,,,9,Seberang gang Kel Bandarjo,"-7.1202271, 110.4078750",isp 9.jpg,tiang 9.jpg,jb 9.jpg,https://drive.google.com/file/d/1yZZFLGCHVsAyCz4_82j042qDsqp1wegP/view?usp=drive_link,https://drive.google.com/file/d/1Cnk-vT_FDlte3qQfY5mgIZUF5rjXhDCR/view?usp=drive_link,https://drive.google.com/file/d/1Hdu4rw3V6mqSHABMTDXWsZSF08SCX02j/view?usp=drive_link,,,,,,,,,,
,,,10,Depan Toko Bu Danu,"-7.1197766, 110.4065127",isp 10.jpg,tiang 10.jpg,-,https://drive.google.com/file/d/1ol8UXpkD9TespalIqVJvyz6a6GJXrbaI/view?usp=drive_link,https://drive.google.com/file/d/1ADANk3aT42FEe9AGWIGzNMlpaYPdri0K/view?usp=drive_link,-,,,,,,,,,,
,,,11,Depan Happy Holy Kids,"-7.1200644, 110.4050187",isp 11.jpg,tiang 11.jpg,jb 11.jpg,https://drive.google.com/file/d/128wRaWtIRMiCVjeHJJTI5YomAyJWA1mb/view?usp=drive_link,https://drive.google.com/file/d/1DYeSb9O1maROMCIcmaQ83XTnI4Ye_hRK/view?usp=drive_link,https://drive.google.com/file/d/1jxkNtCdFfPosHhrfJ9cZddO8LZMiRMAw/view?usp=drive_link,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,Link ISP,Link Tiang ,Link JB,,,,,,,,,,
,,,1,Samping bangjo,"-7.119389, 110.404131",-,tiang 1.jpg,jb 1.jpg,-,https://drive.google.com/file/d/1trz4i4b1X_F1LDHnIt3-ONrdBadP6m_V/view?usp=drive_link,https://drive.google.com/file/d/1Vjn6Z11d8A7vUMCo9AjV-cvylFTfQte-/view?usp=drive_link,,,,,,,,,,
,,,2,Depan alton town house,"-7.119290, 110.404319",-,tiang 2.jpg,jb 2.jpg,-,https://drive.google.com/file/d/1EIhmw8f5a7VVc-FlXoqryLRFuKAuAM-_/view?usp=drive_link,https://drive.google.com/file/d/1x6kqFXN1ezelLHZNlv84dUKNp65bVEpC/view?usp=drive_link,,,,,,,,,,
,,,3,Depan SMK Bina Nusantara,"
-7.119127, 110.404602",-,tiang 3.jpg,-,-,https://drive.google.com/file/d/1k7uPrOtOfl7_RM1B5piy8WV_MzefIW5P/view?usp=drive_link,-,,,,,,,,,,
